CardCode;U_Coordonne
CardCode;U_Coordonne
ES935107083;41.501395,1.8141603
ES935622753;41.3850639,2.1734035
ES935920479;41.4964557,2.1628296
ES936388804;36.0839998,-115.1537389
ES936532993;36.5530575,-4.615728
ES936542741;41.3925609,2.1452139
ES936642959;41.3566766,2.1065259
ES936665144;38.2337098,-1.4117787
ES936756111;41.4721937,2.0888003
ES936821612;41.3768018,2.1775455
ES936914651;41.4887888,2.1439467
ES936915607;41.4936664,2.1431767
ES937118134;41.403815,2.2069195
ES937276771;41.5483834,2.0846298
ES937301104;41.3800572,2.1772764
ES937513998;41.3647481,2.1556704
ES937570864;41.3833563,2.1439982
ES937611126;38.3459963,-0.4906855
ES937620793;41.668444,2.7526209
ES937741711;41.444103,2.2381387
ES937750155;41.4742039,1.9281921
ES937855958;41.5667162,2.0245516
ES937860839;41.5640091,2.0210745
ES937886333;41.3916385,2.1793148
ES938036798;41.5806091,1.6214956
ES938042904;41.3850639,2.1734035
ES938183137;41.4357373,2.1905571
ES938207844;41.4913367,2.1508008
ES938387704;41.6516597,-4.7280458
ES938413772;38.8113074,-3.4599326
ES938424090;41.4035353,2.2071534
ES938643694;41.587246,2.179887
ES938716155;41.3850639,2.1734035
ES938724642;41.3789689,2.1797941
ES938764500;41.3850639,2.1734035
ES938793449;41.6112668,2.2898302
ES938863371;41.9299754,2.2563542
ES938952535;41.2092082,1.6744368
ES941136610;42.2768921,-1.931835
ES941182840;42.4592741,-2.4214926
ES941204084;42.464934,-2.454492
ES941251179;42.466243,-2.4465815
ES941384990;42.4627195,-2.4449852
ES941519264;42.4631556,-2.4281472
ES942212456;43.4618856,-3.8083376
ES942224440;43.4618584,-3.8048576
ES942225513;43.4608153,-3.8076609
ES942229845;43.4650019,-3.8082965
ES942261829;43.4271408,-3.8386324
ES942282822;43.4660939,-3.7917939
ES942564553;43.3251519,-3.8524352
ES942610816;43.4111456,-3.4153747
ES942674456;43.3987492,-3.4507861
ES942676384;43.4623057,-3.8099803
ES942700754;43.3078686,-4.2351978
ES942766750;43.4578115,-3.8538867
ES942861248;43.4724692,-3.7832112
ES942882905;43.4638164,-3.8232605
ES942884488;43.3497408,-4.0488882
ES942884622;43.4623057,-3.8099803
ES943111840;43.39422,-5.7043
ES943130613;43.2848441,-2.1767836
ES943174651;43.1863931,-2.5033352
ES943322896;43.323717,-1.9727234
ES943371047;43.2586789,-2.0126276
ES943390448;43.322794,-1.9370455
ES943421000;43.3213925,-1.9826478
ES943422856;43.1744269,-2.2821226
ES943423374;43.3213925,-1.9826478
ES943431499;43.318117,-1.983025
ES943472361;43.303985,-1.9771434
ES943526856;43.3123635,-1.899709
ES943622402;43.0756299,-2.2236667
ES943631033;43.3396989,-1.7900427
ES943634733;43.3393476,-1.7801722
ES943670560;43.1383979,-2.0722075
ES943673411;43.1265158,-2.0959429
ES943716063;43.0313638,-2.4090227
ES943733662;42.6953909,-1.6760691
ES943762786;43.0756299,-2.2236667
ES943882055;43.071064,-2.2089109
ES944060280;43.3071403,-3.0000604
ES944127737;43.2565916,-2.9001212
ES944217708;43.247748,-2.9625587
ES944222531;43.2574592,-2.9350176
ES944337649;43.2541382,-2.915758
ES944371534;43.2968553,-2.9908443
ES944632622;43.3341353,-2.9825559
ES944668168;43.1720841,-2.6307346
ES944834203;43.3215475,-3.0375251
ES944910547;43.3492447,-3.0119336
ES944912820;43.349436,-3.0098703
ES944971984;43.2869809,-3.0077703
ES944994179;42.5750554,-8.1338558
ES946124744;43.2624119,-2.9391155
ES946186898;43.4195213,-2.7261031
