CardCode;U_Coordonne
CardCode;U_Coordonne
ES961556011;39.4360267,-0.466068
ES961652365;39.5474173,-0.5755043
ES961703217;39.2043643,-0.3062282
ES961720322;56.130366,-106.346771
ES962033371;39.2034308,-0.3062421
ES962192101;39.0599354,-1.0578855
ES962244381;38.9634294,-0.5852352
ES962257154;38.8966805,-0.6897834
ES962275179;38.9969674,-0.5163312
ES962288151;39.471679,-0.3837193
ES962350977;39.4699075,-0.3762881
ES962380954;38.8241849,-0.6017129
ES962510797;39.4946443,-0.6856616
ES962522234;39.4707439,-0.7161906
ES962540257;39.4533909,-0.3911059
ES962698008;39.66558,-0.2297061
ES962717174;39.627952,-0.5950284
ES962760587;39.5930388,-0.5536871
ES962876084;38.9682245,-0.1820688
ES962911516;39.4699075,-0.3762881
ES963307321;39.4631992,-0.3452354
ES963409006;39.4843595,-0.3843767
ES963475555;39.5080119,-0.3617228
ES963575336;39.44643,-0.3906
ES963651429;39.4920972,-0.3667367
ES963746756;39.4632678,-0.3646482
ES963756341;39.4185144,-0.3795438
ES963846470;39.4737169,-0.391078
ES963890195;39.4898119,-0.3585445
ES963911096;39.4741757,-0.380721
ES963934231;39.4753241,-0.3629567
ES963964714;38.7799875,-0.0618313
ES964241442;39.9840639,-0.0393158
ES964250490;39.9893791,-0.0372016
ES964474052;40.4097466,-3.6318393
ES964514279;39.8848977,-0.0835959
ES964538117;38.8943763,1.3314998
ES964671002;40.6205855,-0.0991904
ES964672915;39.8537021,-0.157177
ES964692103;39.8220234,-0.2288236
ES964826864;40.4185507,0.4273112
ES965121631;38.3481699,-0.4960913
ES965121840;38.3459963,-0.4906855
ES965141813;38.348306,-0.4875305
ES965157240;38.3459963,-0.4906855
ES965216508;38.3470608,-0.4851513
ES965219590;37.5629917,-122.3255254
ES965220220;38.3619243,-0.4777982
ES965229684;38.3415996,-0.4988697
ES965261252;38.3646371,-0.4698198
ES965305308;38.3459963,-0.4906855
ES965312422;38.3472413,-0.4859257
ES965356285;38.3455115,-0.4833324
ES965380452;38.3459963,-0.4906855
ES965426962;38.3459963,-0.4906855
ES965432548;38.349697,-0.484635
ES965436473;38.3459963,-0.4906855
ES965453008;38.3459963,-0.4906855
ES965467663;38.2692949,-0.712343
ES965480103;38.3449637,-0.4824956
ES965487869;38.3459963,-0.4906855
ES965491820;38.3636755,-0.5015573
ES965540394;38.3459963,-0.4906855
ES965566576;38.3459963,-0.4906855
ES965602676;38.0627707,-0.9836607
ES965632397;38.473851,-0.3842527
ES965633971;38.3624719,-0.4187991
ES965662850;38.3459963,-0.4906855
ES965673492;38.3558923,-0.4886868
ES965680292;56.130366,-106.346771
ES965701511;38.1087051,-0.7907652
ES965751254;38.844694,-0.021417
ES965792252;43.3613953,-5.8593267
ES965811318;38.3464075,-0.4838973
ES965841632;38.6020223,-0.0485314
ES965856046;38.5362815,-0.1310184
ES965861635;40.4124967,-3.8706208
ES965865913;38.5448197,-0.1329924
ES965875574;38.6425273,0.0504856
ES965887127;38.3459963,-0.4906855
ES965910694;38.3615639,-0.48658
ES965928205;38.3467075,-0.4956807
ES966090210;38.2727252,-0.6803068
ES966246747;38.3448424,-0.485596
ES966359685;38.352141,-0.486277
ES966431888;38.6446183,0.0721182
ES966456504;38.3635243,-0.5022319
ES966463586;36.746209,-5.1612251
ES966476558;38.8257739,0.0139908
ES966480407;37.9735346,-122.5310874
ES966615215;38.2705664,-0.6791131
ES966693345;38.2699329,-0.7125608
ES966698802;38.5344784,-0.1076217
ES966723265;38.3459963,-0.4906855
ES966725453;38.0887761,-0.6543952
ES966760465;37.9321771,-0.7260633
ES966763572;39.4703159,-0.3413278
ES966772228;38.0732669,-0.8555992
