CardCode;U_Coordonne
CardCode;U_Coordonne
ES954776706;41.0184307,-0.4313729
ES954792913;40.4167754,-3.7037902
ES954792975;40.4167754,-3.7037902
ES954844185;43.318334,-1.9812313
ES954959336;37.4234203,-5.9669671
ES955155994;37.3972636,-5.9227688
ES955270603;37.3890924,-5.9844589
ES955683045;33.9802641,-117.3688764
ES955695289;37.3890924,-5.9844589
ES955740115;12.865416,-85.207229
ES955746177;37.3955646,-5.9932901
ES955762538;37.3363695,-6.0267092
ES955770464;37.390759,-5.9922949
ES955779320;37.4139265,-5.985784
ES955784276;37.5415599,-6.0561439
ES955815758;37.1601519,-5.9291746
ES955816029;37.0629768,-5.8051378
ES955824704;37.0754779,-5.0995583
ES955852265;40.7603837,-73.9896503
ES955903613;37.5459043,-5.0791461
ES955942116;37.3890924,-5.9844589
ES956077919;36.519246,-6.2777412
ES956086220;36.6767336,-6.107645
ES956221771;36.5311699,-6.2985152
ES956252868;36.512031,-6.2804082
ES956306240;36.6945586,-6.1029688
ES956330180;36.6822197,-6.1193607
ES956344785;36.6826169,-6.1379352
ES956362968;36.7809015,-6.3548534
ES956402600;36.5270612,-6.2885962
ES956410204;36.5270612,-6.2885962
ES956417668;36.252034,-5.9667359
ES956460303;36.67461,-5.4471
ES956519691;41.3850639,2.1734035
ES956681407;36.013292,-5.6025332
ES956704725;36.7509878,-5.8172958
ES956830851;36.5280017,-6.1907982
ES956870153;36.5956151,-6.2339946
ES957160187;37.8882939,-4.7794736
ES957160871;37.8882939,-4.7794736
ES957180246;37.9415272,-4.4978907
ES957186003;37.96472,-4.45939
ES957256688;37.9922399,-1.1306544
ES957272292;37.897205,-4.7772783
ES957300572;37.8961908,-4.7524519
ES957370484;-31.4200833,-64.1887761
ES957376104;37.677,-4.55608
ES957382079;37.667758,-4.7267385
ES957513574;37.4088789,-4.4872391
ES957521507;40.4224259,-3.7125883
ES957523797;37.4702545,-4.4386122
ES957532422;37.8881751,-4.7793835
ES957542612;29.8832749,-97.9413941
ES957630525;37.8881751,-4.7793835
ES957637227;37.390516,-5.996798
ES957651612;37.1211901,-5.4541928
ES957697185;37.5852692,-4.4691392
ES957710014;37.7018134,-5.2806128
ES957713680;37.8137741,-5.0177097
ES957817272;37.8961896,-4.7808095
ES958003911;37.4865707,-2.77265
ES958081777;37.156333,-3.5919387
ES958122325;37.1531784,-3.5973075
ES958151208;40.1451772,-0.1494988
ES958205574;37.175397,-3.6080507
ES958255697;37.1723182,-3.602391
ES958270234;37.1849405,-3.6065452
ES958296350;41.6607312,-0.8593124
ES958322684;37.1773363,-3.5985571
ES958332806;40.463667,-3.74922
ES958442198;37.1877459,-3.777957
ES958446956;37.1773363,-3.5985571
ES958463195;37.2847917,-3.882194
ES958469063;37.1440456,-3.626091
ES958556416;37.067769,-3.652735
ES958579915;37.1456408,-3.6445374
ES958590101;37.1160163,-3.5828313
ES958631926;36.8338034,-3.5142448
ES958710771;43.318334,-1.9812313
ES958782137;36.9858457,-3.5703202
ES958826254;37.1839163,-3.6044879
ES958828908;37.1773363,-3.5985571
ES958854073;37.1773363,-3.5985571
ES959232067;37.2590675,-6.9336209
ES959282889;37.2567441,-6.9531533
ES959315391;37.1820557,-6.9665057
ES959383911;37.25072,-7.2032919
ES959428817;37.1138425,-4.7038293
ES959540173;37.2562514,-6.9508981
ES959551786;37.5726617,-6.7533933
ES960614113;37.6256827,-0.9965839
ES960917563;39.4726777,-0.4056413
ES961043703;56.130366,-106.346771
ES961080130;39.4307539,-0.4742349
ES961090982;39.4783453,-0.4155772
ES961174741;39.4066484,-0.4055603
ES961234569;39.3655548,-0.458382
ES961332662;39.4637502,-0.4362723
ES961382823;39.4738889,-0.3715718
ES961546888;39.4915645,-0.4594624
