CardCode;U_Coordonne
CardCode;U_Coordonne
ES946250231;43.3149431,-2.6762719
ES947052151;42.841522,-3.1585416
ES947147233;42.3380758,-3.5812692
ES947201357;42.3421551,-3.7018275
ES947202989;42.3439925,-3.696906
ES947210584;42.35321,-3.67746
ES947260848;42.3447342,-3.6868846
ES947311732;42.6848641,-2.9490826
ES947331642;42.68598,-2.93784
ES947540831;42.3439925,-3.696906
ES947546463;41.6722842,-3.6724649
ES948127805;42.8256236,-1.615375
ES948133462;42.8326056,-1.6377085
ES948134788;42.6953909,-1.6760691
ES948143640;42.8481257,-1.6451803
ES948162502;42.8106966,-1.6112585
ES948173779;42.804025,-1.651856
ES948180146;42.7847116,-1.6898607
ES948228560;42.8139852,-1.6436251
ES948292029;42.8098599,-1.6370801
ES948365257;42.8129475,-1.6592584
ES948563124;42.8942719,-2.1704942
ES948627550;43.2471473,-1.7076286
ES948700259;42.5188472,-1.6955092
ES948712380;42.450567,-1.6663523
ES948847559;42.0612507,-1.6004929
ES949214426;40.6351429,-3.1677559
ES949220801;40.6347681,-3.1674166
ES949222039;40.6293437,-3.1678108
ES949224201;40.6328829,-3.1685075
ES951056355;37.3890924,-5.9844589
ES951138332;36.7166948,-4.4452233
ES951241410;38.3475707,-0.7618595
ES951252643;36.734573,-4.612705
ES951396957;36.8280235,-4.7048186
ES952068900;36.7198833,-4.4600631
ES952092194;36.7231694,-4.4364556
ES952197649;41.9619174,3.0363516
ES952239684;36.6962283,-4.4558417
ES952256804;36.7294873,-4.4138227
ES952283659;36.7226027,-4.467102
ES952309894;36.7239791,-4.4323158
ES952333740;36.7110562,-4.4394778
ES952335745;36.7120356,-4.4466015
ES952356005;36.7117567,-4.4463951
ES952387751;36.6224467,-4.4998544
ES952393590;36.721649,-4.4291988
ES952447318;36.600925,-4.528298
ES952506897;36.7230679,-4.4192421
ES952511290;36.7169494,-4.4377545
ES952524380;36.7483481,-3.8785276
ES952581523;36.7209889,-4.4223664
ES952587624;36.504559,-4.679652
ES952595337;36.7212737,-4.4213988
ES952614179;36.7206431,-4.4215447
ES952827888;36.5116774,-4.8761954
ES952993434;35.2929102,-2.9412268
ES953391027;36.7212737,-4.4213988
ES953500367;38.0390977,-4.0544796
ES953505615;37.7984468,-122.3964846
ES953523520;37.9363814,-4.05618
ES953546496;37.7680244,-3.7874689
ES953551695;37.7093318,-3.9980485
ES953572211;37.7795941,-3.7849057
ES953581223;37.4639746,-3.924293
ES953581645;37.459223,-3.920661
ES953687001;37.7795941,-3.7849057
ES953733516;37.7675378,-3.7873734
ES953740681;37.9937855,-3.4674211
ES953778090;37.9975565,-3.238251
ES953785542;37.8434788,-3.3524822
ES953793636;38.011441,-3.36656
ES954013170;37.3890924,-5.9844589
ES954067080;37.3868965,-5.9507514
ES954210382;37.3914093,-5.9979699
ES954221818;37.3935357,-5.9912906
ES954235034;37.3666855,-5.9714634
ES954239300;37.3606309,-5.9790108
ES954253784;37.4119611,-5.9269626
ES954370936;37.3952785,-5.9947358
ES954409338;37.3923487,-5.9193549
ES954420309;37.3946933,-5.9836075
ES954434979;41.3850639,2.1734035
ES954639182;37.3698476,-5.9541908
ES954690924;37.3249449,-5.968292
ES954715691;37.3890924,-5.9844589
ES954717358;37.3843039,-6.0758624
ES954750223;36.7372514,-4.0963821
ES954769682;37.3572243,-6.0337181
