ES911158907,"OPTICA MEDITERRANEO   SANCHEZ BARCAIZTEGUI, 31   Madrid 28007 Spain",40.4056019,-3.6735359
ES912269866,"I.R.G.   ALAVA, 16   Madrid 28941 Spain",42.9099989,-2.6983868
ES912342930,"FARMACIA OPTICA VELEZ   RIOJA, Nº 17-19   Madrid 28042 Spain",42.2870733,-2.539603
ES913023227,"OPTICA TECNOS JAZMIN, 18   Madrid 28033 Spain",40.4772853,-3.6676062
ES913146650,"OPTICA IBERO GINZO DE LIMIA, 6   Madrid 28029 Spain",40.476856,-3.7025953
ES913153819,"OPTICA EMI CAPITAN BLANCO ARGIBAY, 65   Madrid 28029 Spain",40.4660991,-3.7016273
ES913205945,"OPTICA KORE   NICOLASA GOMEZ, 93   Madrid 28022 Spain",40.436688,-3.6107945
ES913313418,"OPTICA AVANCE PUENTELARRA, 5   Madrid 28031 Spain",40.3833851,-3.6071845
ES913416954,"OPTICA DONBONI PLAZA DE LAS ASAMBLEAS, 11   Madrid 28041 Spain",40.4167754,-3.7037902
ES913510505,"OPTICA LUMEN PZA. DE SAN JUAN, 2   Madrid 28224 Spain",40.4182167,-3.7027062
ES913556625,"OPTICA CRISOL   FUNDADORES, Nº 3   Madrid 28028 Spain",40.4248228,-3.6682459
ES913559804,"PRIMERA OPTICOS GARLENS FRANCISCO SILVELA, 36   Madrid 28028 Spain",40.4329633,-3.6724988
ES913655315,"CENTRO OPTICO DEL PUERTO Pº VIRGEN DEL PUERTO, 17   Madrid 28005 Spain",40.4125699,-3.7208806
ES913668470,"CENTRO OPTICO LINE HUMILLADERO, 18   Madrid 28005 Spain",40.4101439,-3.7103963
ES913674068,"OPTICA FERRARI EMILIO FERRARI, 46   Madrid 28017 Spain",40.4316799,-3.6417733
ES913858806,"OPTICA EUROPEA PLAZA FRANCISCO MORANO, S/N   Madrid 28005 Spain",40.4045935,-3.7166371
ES914031795,"TODO OPTICA AVDA. DONOSTIARRA, 24   Madrid 28027 Spain",40.434487,-3.6568245
ES914156747,"FARMACIA-OPTICA PEREZ JUNCO   CLARA DEL REY, 37   Madrid 28002 Spain",40.4426567,-3.6705237
ES914161947,"OPTICAS GOLF CLARA DEL REY, 43   Madrid 28002 Spain",40.4431685,-3.6693511
ES914165355,"OPTICA VALRIVERAS CLARA DEL REY, 35   Madrid 28002 Spain",40.4425697,-3.6707614
ES914306111,"OPTICA ALBA CAMINO DE VALDERRIBAS, 95 B   Madrid 28038 Spain",40.3991614,-3.6592603
ES914334100,"LABORATORIO NAVES DOCTOR ESQUERDO, 140   Madrid 28007 Spain",40.405175,-3.6716281
ES914352326,"OPTICA CASADO GENERAL DIAZ PORLIER, 14   Madrid 28001 Spain",40.4264049,-3.6768064
ES914443999,"OPTICA SAN BERNARDO SAN BERNARDO,  86   Madrid 28015 Spain",40.42868,-3.70587
ES914454153,"CENTRO ÓPTICO MAGALLANES MAGALLANES, 24   Madrid 28015 Spain",40.4341953,-3.7055474
ES914459947,"OPTICA ROCA SANTA ENGRACIA, 64   Madrid 28010 Spain",40.4356099,-3.69885
ES914464538,"OPTIMON FRANCISCO DE ROJAS, 7   Madrid 28010 Spain",40.4296127,-3.6998994
ES914485475,"OPTICA QUEVEDO FEIJOÓ, 12   Madrid 28010 Spain",40.43477,-3.7032177
ES914567892,"Oscar Carrascal pruebas Echegaray, 7   Madrid 28230 Spain",40.4158357,-3.6995633
ES914601322,"OPTICA ALEJOS   MARQUES DE JURA REAL, 16   Madrid 28019 Spain",40.3920417,-3.7099766
ES914610008,"OPTICAS FACTORY GENERAL RICARDOS, 222   Madrid 28025 Spain",40.3846567,-3.7397526
ES914642873,"OPTICA DELMAR ANTILLON, 7   Madrid 28011 Spain",40.4128795,-3.7281304
ES914651012,"OPTICA CAÑO AV. NTRA. SRA. DE FATIMA,1   Madrid 28047 Spain",40.386913,-3.7432585
ES914695213,"OPTICA OPORTO AVDA. DE OPORTO, 12   Madrid 28019 Spain",40.3854216,-3.7204444
ES914722333,"OPTICA GREDOS SAN PATRICIO, 12   Madrid 28019 Spain",40.3943402,-3.7257386
ES914733425,"CENTRO OPTICO ARGANZUELA NAVES, 6   Madrid 28005 Spain",40.4050094,-3.7105118
ES914763114,"OPTICA USERA  JESUS DEL GRAN PODER,Nº31   Madrid 28026 Spain",40.3864069,-3.7010736
